"food_name","lang","alias"
"希臘優格","zh-TW","希臘優"
"蛋塔","zh-TW","蛋塔"
"車輪餅","zh-TW","車輪餅"
"車輪餅","zh-TW","車輪"
"紅豆餅","zh-TW","紅豆餅"
"紅豆餅","zh-TW","紅豆"
"綠豆椪","zh-TW","綠豆椪"
"綠豆椪","zh-TW","綠豆"
"鳳梨酥","zh-TW","鳳梨酥"
"鳳梨酥","zh-TW","鳳梨"
"太陽餅","zh-TW","太陽餅"
"太陽餅","zh-TW","太陽"
"蛋黃酥","zh-TW","蛋黃酥"
"蛋黃酥","zh-TW","蛋黃"
"麻糬","zh-TW","麻糬"
"仙草凍","zh-TW","仙草凍"
"仙草凍","zh-TW","仙草"
"愛玉冰","zh-TW","愛玉冰"
"愛玉冰","zh-TW","愛玉"
"豆花","zh-TW","豆花"
